,Source,Target,Link
1741,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=SsR9ohalUp0,1
1742,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=6WVNtQB5FPs,1
1743,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=LYQG2Kd9cbA,1
1744,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Tpe_bEvfd90,1
1745,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=tA1EbehbXaY,1
1746,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=1zlYEbi4E0I,1
1747,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=VEjDsAnupB8,1
1748,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=9qAgmpX6c4U,1
1749,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=KNdFBDz0B3g,1
1750,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cX7ubSkvGi4,1
1751,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Tpe_bEvfd90,1
1752,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cdzaxoGrd0k,1
1753,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cX7ubSkvGi4,1
1754,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=zTspzONOomw,1
1755,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0i1T72jfoWA,1
1756,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=NWQXQKlFSpA,1
1757,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=-j5Fxn-38Zk,1
1758,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=JhkR1KoECdY,1
1759,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=JhkR1KoECdY,1
1760,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=HQiDKE85P3U,1
1761,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Tpe_bEvfd90,1
1762,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=z0NCh2YCHRM,1
1763,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=2yIjg17A6Oo,1
1764,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=QcJoW9Lwzs0,1
1765,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=fMxf9xmgbZo,1
1766,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=sIV-PpfQ8fw,1
1767,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0VDbf9VsZ88,1
1768,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=6kaoC2eP6Vc,1
1769,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=JhkR1KoECdY,1
1770,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=rQaUxk5xFdw,1
1771,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=zopTkefjBFI,1
1772,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0x76GbrZGjg,1
1773,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=xukWkOv4a-w,1
1774,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=GvtNyOzGogc,1
